Number,Gender,NameSet,GivenName,Surname,City,EmailAddress,TelephoneNumber,Birthday
20,male,Polish,Sławomir,Jaworski,Tarnobrzeg,SlawomirJaworski@fleckens.hu,"53 562 84 67",5/1/1985
21,male,Polish,Zygmunt,Rutkowski,Warszawa,ZygmuntRutkowski@armyspy.com,"66 117 76 95",2/15/1977
22,female,Polish,Krystyna,Sawicka,Szczecin,KrystynaSawicka@armyspy.com,"78 269 68 82",4/23/1932
23,female,Polish,Justyna,Jabłońska,Warszawa,JustynaJablonska@teleworm.us,"66 222 82 83",8/7/1941
24,female,Polish,Matylda,Kamińska,Warszawa,MatyldaKaminska@fleckens.hu,"88 746 75 57",2/15/1994
25,male,Polish,Justyn,Olszewski,Warszawa,JustynOlszewski@teleworm.us,"72 249 18 91",8/23/1947
26,male,Polish,Racław,Kucharski,Warszawa,RaclawKucharski@superrito.com,"78 463 37 81",7/26/1964
27,male,Polish,Donat,Dudek,"Kudowa Zdrój",DonatDudek@teleworm.us,"88 988 18 62",8/13/1965
28,female,Polish,Zoja,Adamska,Będzin,ZojaAdamska@dayrep.com,"67 414 13 86",12/21/1977
29,female,Polish,Sylwia,Jabłońska,Łódź,SylwiaJablonska@jourrapide.com,"78 411 07 57",6/29/1947
30,female,Polish,Klaudia,Jaworska,Wrocław,KlaudiaJaworska@superrito.com,"67 852 81 03",11/20/1975
31,male,Polish,Gabrysz,Kucharski,Bydgoszcz,GabryszKucharski@teleworm.us,"69 794 42 83",1/26/1972
32,female,Polish,Natasza,Nowicka,Kielce,NataszaNowicka@superrito.com,"79 491 30 49",3/29/1983
33,male,Polish,Wit,Zając,Warszawa,WitZajac@teleworm.us,"53 186 07 61",10/25/1946
34,female,Polish,Martyna,Nowicka,Bydgoszcz,MartynaNowicka@fleckens.hu,"72 698 96 50",12/10/1981
35,male,Polish,Wiktor,Duda,Rzeszów,WiktorDuda@gustr.com,"72 806 15 63",4/4/1932
36,female,Polish,Klementyna,Kowalczyk,Rzeszów,KlementynaKowalczyk@jourrapide.com,"69 928 60 97",6/10/1985
37,male,Polish,Racław,Ostrowski,Szczecin,RaclawOstrowski@cuvox.de,"79 305 26 87",4/20/1986
38,female,Polish,Lucyna,Piotrowska,Koszalin,LucynaPiotrowska@armyspy.com,"72 998 46 01",5/26/1949
39,male,Polish,Iwo,Maciejewski,Radom,IwoMaciejewski@jourrapide.com,"72 569 25 13",1/25/1931
40,female,Polish,Bożena,Gorska,Szczecin,BozenaGorska@dayrep.com,"72 667 63 42",4/17/1937
41,male,Polish,Kondrat,Rutkowski,Świnoujście,KondratRutkowski@einrot.com,"60 259 73 63",4/22/1982
42,male,Polish,Krzysztof,Majewski,Gdynia,KrzysztofMajewski@einrot.com,"67 613 65 78",2/16/1934
43,female,Polish,Zuzanna,Zielinska,Poznań,ZuzannaZielinska@gustr.com,"60 325 54 55",8/6/1986
44,male,Polish,Bazyli,Jasiński,Rzeszów,BazyliJasinski@superrito.com,"53 234 70 53",2/22/1980
45,female,Polish,Angelika,Kamińska,Świętochłowice,AngelikaKaminska@cuvox.de,"69 999 44 35",9/22/1941
46,male,Polish,Franciszek,Maciejewski,Białystok,FranciszekMaciejewski@gustr.com,"72 393 49 07",9/5/1994
47,female,Polish,Agnieszka,Walczak,Gdańsk,AgnieszkaWalczak@rhyta.com,"78 226 28 54",8/9/1972
48,male,Polish,Eugeniusz,Adamski,Wrocław,EugeniuszAdamski@einrot.com,"79 681 31 70",9/6/1977
49,female,Polish,Edyta,Wieczorek,Warszawa,EdytaWieczorek@superrito.com,"60 852 46 19",12/29/1967
50,female,Polish,Anastazja,Rutkowska,Poznań,AnastazjaRutkowska@superrito.com,"60 838 03 41",9/28/1966
51,male,Polish,Zygfryd,Olszewski,Warszawa,ZygfrydOlszewski@fleckens.hu,"67 339 23 55",9/11/1974
52,male,Polish,Karol,Tomaszewski,Wrocław,KarolTomaszewski@jourrapide.com,"66 194 07 29",4/13/1972
53,male,Polish,Cyryl,Rutkowski,Łódź,CyrylRutkowski@teleworm.us,"69 969 77 86",1/4/1947
54,male,Polish,Gabryjel,"Nowak ",Wrocław,GabryjelNowak@armyspy.com,"66 693 10 07",2/17/1937
55,male,Polish,Włodek,Chmielewski,Słupsk,WlodekChmielewski@cuvox.de,"66 350 62 66",5/19/1964
56,male,Polish,Zachariasz,Kalinowski,Lublin,ZachariaszKalinowski@teleworm.us,"66 708 75 61",8/8/1963
57,male,Polish,Oskar,Dudek,Warszawa,OskarDudek@einrot.com,"51 359 88 28",12/10/1945
58,female,Polish,Sławomira,"Nowak ",Warszawa,SlawomiraNowak@einrot.com,"60 339 55 51",8/11/1956
59,female,Polish,Kornelia,Dudek,Rzeszów,KorneliaDudek@fleckens.hu,"60 821 26 23",3/5/1934
60,male,Polish,Lucjan,Wiśniewski,Łódź,LucjanWisniewski@superrito.com,"79 473 79 81",11/30/1995
61,male,Polish,Radomił,Jasiński,Białystok,RadomilJasinski@gustr.com,"51 402 08 81",9/25/1935
62,female,Polish,Ania,Zielinska,Bydgoszcz,AniaZielinska@cuvox.de,"88 759 06 86",12/29/1981
63,female,Polish,Zosia,Tomaszewska,Gdańsk,ZosiaTomaszewska@gustr.com,"51 552 78 27",12/17/1994
64,female,Polish,Basia,Majewska,Częstochowa,BasiaMajewska@gustr.com,"67 437 33 57",2/5/1981
65,female,Polish,Beatrycze,Tomaszewska,Warszawa,BeatryczeTomaszewska@gustr.com,"67 797 09 21",8/14/1961
66,male,Polish,Włodzimierz,Sobczak,Gdańsk,WlodzimierzSobczak@jourrapide.com,"66 138 51 94",6/3/1963
67,male,Polish,Maciej,Kowalski,Kraków,MaciejKowalski@einrot.com,"53 805 73 63",4/25/1966
68,male,Polish,Rościsław,Michalski,Katowice,RoscislawMichalski@teleworm.us,"66 258 54 52",4/6/1980
69,male,Polish,Lucjan,Pawlak,Bydgoszcz,LucjanPawlak@fleckens.hu,"78 204 13 66",8/12/1964
70,female,Polish,Ksenia,Czerwinska,Warszawa,KseniaCzerwinska@dayrep.com,"60 602 27 77",10/19/1965
71,male,Polish,Maksymilian,Wysocki,Mysłowice,MaksymilianWysocki@fleckens.hu,"60 649 71 87",7/13/1963
72,male,Polish,Świętomierz,Borkowski,Sieradz,SwietomierzBorkowski@cuvox.de,"72 832 84 52",2/5/1961
73,female,Polish,Beata,Symanska,Kraków,BeataSymanska@armyspy.com,"66 567 01 48",1/10/1984
74,female,Polish,Walentyna,Kowalska,Częstochowa,WalentynaKowalska@jourrapide.com,"53 545 68 39",4/7/1935
75,male,Polish,Zdzisław,Czarnecki,Gdynia,ZdzislawCzarnecki@rhyta.com,"69 252 90 97",4/9/1964
76,male,Polish,Aureliusz,Wojciechowski,Warszawa,AureliuszWojciechowski@einrot.com,"78 737 73 45",12/19/1971
77,female,Polish,Radosława,Walczak,Poznań,RadoslawaWalczak@fleckens.hu,"79 210 24 19",4/15/1984
78,male,Polish,Ludwik,Nowakowski,Mikołów,LudwikNowakowski@teleworm.us,"60 418 55 87",11/29/1954
79,male,Polish,Gabrysz,Król,Kraków,GabryszKrol@gustr.com,"78 163 83 77",5/16/1940
80,male,Polish,Gabrysz,Sobczak,Białystok,GabryszSobczak@armyspy.com,"78 975 62 75",1/3/1984
81,female,Polish,Adrianna,Zawadzka,Kraków,AdriannaZawadzka@superrito.com,"88 256 51 89",12/24/1990
82,female,Polish,Tekla,Zawadzka,Wiśniowa,TeklaZawadzka@jourrapide.com,"72 535 61 31",3/30/1932
83,male,Polish,Ludwik,Kucharski,Białystok,LudwikKucharski@fleckens.hu,"69 324 79 12",1/3/1957
84,female,Polish,Aniela,Ostrowska,Jaworzno,AnielaOstrowska@rhyta.com,"72 298 05 43",5/23/1966
85,male,Polish,Apolinary,Kwiatkowski,Jastrzębie-Zdrój,ApolinaryKwiatkowski@teleworm.us,"53 855 36 05",11/4/1979
86,female,Polish,Felicyta,Pawłowska,Warszawa,FelicytaPawlowska@cuvox.de,"53 915 67 51",7/26/1947
87,male,Polish,Donat,Sawicki,Bielsko-Biała,DonatSawicki@superrito.com,"88 215 54 52",5/24/1974
88,male,Polish,Renard,Gorski,Warszawa,RenardGorski@einrot.com,"78 330 28 83",5/20/1933
89,male,Polish,Lew,Kwiatkowski,Lublin,LewKwiatkowski@dayrep.com,"67 418 30 94",9/12/1937
90,male,Polish,Jarosław,Zielinski,Opole,JaroslawZielinski@teleworm.us,"72 695 73 68",10/23/1970
91,female,Polish,Walentyna,Kozłowska,Poznań,WalentynaKozlowska@cuvox.de,"78 636 02 17",12/9/1942
92,female,Polish,Wiga,Pawlak,Warszawa,WigaPawlak@armyspy.com,"72 663 61 73",5/4/1942
93,male,Polish,Wiktor,Grabowski,Kielce,WiktorGrabowski@armyspy.com,"69 134 14 36",2/11/1940
94,male,Polish,Wacław,Grabowski,Szczecin,WaclawGrabowski@einrot.com,"69 171 74 62",6/17/1979
95,female,Polish,Krystiana,Zawadzka,Lublin,KrystianaZawadzka@fleckens.hu,"67 178 12 30",8/11/1978
96,female,Polish,Barbara,Kozłowska,Gdańsk,BarbaraKozlowska@gustr.com,"67 562 11 59",8/1/1956
97,male,Polish,Longin,Ostrowski,Bydgoszcz,LonginOstrowski@rhyta.com,"79 402 20 40",4/4/1961
98,male,Polish,Felicjan,Ostrowski,Szczecin,FelicjanOstrowski@dayrep.com,"78 609 95 69",10/19/1958
99,male,Polish,Witołd,Zając,Wrocław,WitoldZajac@rhyta.com,"78 615 24 92",5/24/1949
100,male,Polish,Justyn,Sokołowski,Warszawa,JustynSokolowski@einrot.com,"88 625 95 56",6/23/1947
101,male,Polish,Sergiusz,Nowakowski,Gdańsk,SergiuszNowakowski@einrot.com,"53 193 09 89",7/1/1993
102,male,Polish,Hendrych,Adamski,Poznań,HendrychAdamski@teleworm.us,"79 796 73 66",8/19/1961
103,male,Polish,Czesław,Pawłowski,Rybnik,CzeslawPawlowski@cuvox.de,"69 443 23 18",2/6/1937
104,female,Polish,Mirosława,Piotrowska,Wrocław,MiroslawaPiotrowska@gustr.com,"60 507 54 11",9/14/1943
105,male,Polish,Dariusz,Michalski,Białystok,DariuszMichalski@jourrapide.com,"60 888 00 31",2/1/1992
106,female,Polish,Leokadia,Kozłowska,"Zielona Góra",LeokadiaKozlowska@cuvox.de,"88 114 91 13",5/22/1974
107,male,Polish,Albin,Ostrowski,Kraków,AlbinOstrowski@cuvox.de,"69 122 00 59",10/19/1981
108,female,Polish,Zofia,Kozłowska,Jastrzębie-Zdrój,ZofiaKozlowska@einrot.com,"66 777 42 08",6/9/1951
109,female,Polish,Zuzanna,Nowakowska,Boronów,ZuzannaNowakowska@gustr.com,"72 921 39 98",7/17/1977
110,female,Polish,Stanisława,Duda,Lublin,StanislawaDuda@gustr.com,"67 237 92 55",2/3/1932
111,female,Polish,Grażyna,Kowalska,Warszawa,GrazynaKowalska@jourrapide.com,"66 757 17 48",3/13/1955
112,female,Polish,Genowefa,Kamińska,Kraków,GenowefaKaminska@superrito.com,"60 219 04 42",4/20/1943
113,male,Polish,Włodzisław,"Nowak ",Katowice,WlodzislawNowak@superrito.com,"66 535 94 69",9/9/1945
114,female,Polish,Dobrosława,Adamczyk,Katowice,DobroslawaAdamczyk@superrito.com,"72 358 67 52",3/13/1992
115,male,Polish,Juliusz,Grabowski,Warszawa,JuliuszGrabowski@einrot.com,"88 716 19 83",7/9/1991
116,male,Polish,Korneliusz,Wiśniewski,Szczecin,KorneliuszWisniewski@rhyta.com,"60 567 46 56",6/1/1995
117,female,Polish,Marcelina,Kozłowska,Chorzów,MarcelinaKozlowska@rhyta.com,"67 583 57 37",9/26/1997
118,female,Polish,Gertruda,Pawłowska,Lublin,GertrudaPawlowska@gustr.com,"88 285 37 31",3/20/1971
119,female,Polish,Kornelia,Kowalska,Katowice,KorneliaKowalska@rhyta.com,"51 798 18 80",7/7/1938
120,male,Polish,Mariusz,Szczepański,Zamość,MariuszSzczepanski@superrito.com,"79 266 94 68",12/12/1978
121,female,Polish,Blanka,Duda,Łódź,BlankaDuda@fleckens.hu,"79 930 63 01",11/20/1936
122,male,Polish,Radzimierz,Maciejewski,Szczecin,RadzimierzMaciejewski@jourrapide.com,"88 207 61 61",7/25/1943
123,male,Polish,Marik,"Nowak ",Poznań,MarikNowak@teleworm.us,"69 890 20 19",9/15/1941
124,male,Polish,Zygfryd,Sawicki,Poznań,ZygfrydSawicki@dayrep.com,"67 839 76 57",8/21/1965
125,female,Polish,Stanisława,Kwiatkowska,Kędzierzyn-Koźle,StanislawaKwiatkowska@rhyta.com,"67 200 68 68",6/22/1963
126,female,Polish,Wioletta,Wiśniewska,Warszawa,WiolettaWisniewska@armyspy.com,"79 987 06 61",12/11/1930
127,female,Polish,Augustyna,Woźniak,Gdańsk,AugustynaWozniak@gustr.com,"60 449 15 37",5/6/1938
128,male,Polish,Łukasz,Czarnecki,Wrocław,LukaszCzarnecki@jourrapide.com,"88 372 87 17",1/22/1962
129,male,Polish,Michał,Grabowski,Kętrzyn,MichalGrabowski@teleworm.us,"79 147 35 95",11/2/1952
130,female,Polish,Henryka,Kaczmarek,"Lwówek Śląski",HenrykaKaczmarek@fleckens.hu,"88 708 48 76",4/8/1952
131,female,Polish,Krystyna,Szczepańska,Kędzierzyn-Koźle,KrystynaSzczepanska@cuvox.de,"69 232 45 18",4/2/1968
132,male,Polish,Gabryŝ,Wiśniewski,Opole,GabrysWisniewski@dayrep.com,"72 324 09 29",5/8/1976
133,female,Polish,Wiktoria,Zawadzka,Szczecin,WiktoriaZawadzka@einrot.com,"72 513 92 43",3/4/1943
134,male,Polish,Kondrat,Kamiński,Poznań,KondratKaminski@einrot.com,"78 263 19 36",11/26/1942
135,male,Polish,Jurek,Rutkowski,Trzebiatów,JurekRutkowski@einrot.com,"79 449 63 77",10/16/1958
136,female,Polish,Nadzieja,Adamska,Warszawa,NadziejaAdamska@superrito.com,"51 779 25 11",7/1/1952
137,female,Polish,Wacława,Czerwinska,Poznań,WaclawaCzerwinska@armyspy.com,"60 424 41 40",5/7/1991
138,female,Polish,Martyna,Czarnecka,Lublin,MartynaCzarnecka@rhyta.com,"69 100 50 48",10/9/1970
139,male,Polish,Bronisław,Piotrowski,Zakroczym,BronislawPiotrowski@einrot.com,"79 319 51 09",1/14/1974
140,female,Polish,Lechosława,Jabłońska,Siemiatycze,LechoslawaJablonska@cuvox.de,"79 808 43 45",8/9/1955
141,female,Polish,Ludmita,Zając,Bydgoszcz,LudmitaZajac@gustr.com,"72 957 29 27",3/16/1991
142,female,Polish,Klaudia,Jabłońska,Opole,KlaudiaJablonska@gustr.com,"67 468 51 84",8/30/1951
143,male,Polish,Kazimierz,Dudek,Warszawa,KazimierzDudek@superrito.com,"72 867 33 53",1/28/1957
144,male,Polish,Włodek,Jaworski,Zawiercie,WlodekJaworski@fleckens.hu,"72 319 04 79",11/2/1990
145,female,Polish,Beata,Woźniak,Łódź,BeataWozniak@gustr.com,"78 349 41 50",9/13/1997
146,male,Polish,Czcibor,Majewski,Białogard,CzciborMajewski@gustr.com,"72 228 70 85",10/24/1975
147,male,Polish,Seweryn,Kowalczyk,Katowice,SewerynKowalczyk@cuvox.de,"72 209 57 77",4/5/1956
148,female,Polish,Angelika,Rutkowska,Ruciane-Nida,AngelikaRutkowska@cuvox.de,"79 865 74 50",12/30/1995
149,female,Polish,Radosława,Jaworska,Bydgoszcz,RadoslawaJaworska@armyspy.com,"79 247 38 55",10/3/1963
150,female,Polish,Jagoda,Król,Warszawa,JagodaKrol@jourrapide.com,"78 566 72 39",10/8/1994
151,male,Polish,Grzegorz,Król,Szczecin,GrzegorzKrol@gustr.com,"60 829 23 09",1/28/1936
152,female,Polish,Felicyta,Olszewska,Kraków,FelicytaOlszewska@cuvox.de,"60 616 53 46",7/26/1967
153,male,Polish,Michał,Wiśniewski,Wrocław,MichalWisniewski@cuvox.de,"53 771 89 56",7/1/1960
154,male,Polish,Grzegorz,Duda,Łódź,GrzegorzDuda@rhyta.com,"53 877 48 03",1/13/1940
155,male,Polish,Jozafat,Adamczyk,Jastrzębie-Zdrój,JozafatAdamczyk@superrito.com,"79 489 23 17",5/30/1989
156,female,Polish,Malina,Olszewska,Gdynia,MalinaOlszewska@fleckens.hu,"88 925 76 15",10/12/1972
157,male,Polish,Benedykt,Wojciechowski,Białystok,BenedyktWojciechowski@armyspy.com,"53 372 57 94",1/28/1942
158,female,Polish,Rościsława,Kowalczyk,Miastko,RoscislawaKowalczyk@rhyta.com,"60 178 60 95",5/17/1961
159,female,Polish,Klara,Tomaszewska,Łódź,KlaraTomaszewska@rhyta.com,"69 785 05 32",1/7/1977
160,female,Polish,Genowefa,Kaczmarek,Lublin,GenowefaKaczmarek@fleckens.hu,"60 896 53 85",10/2/1969
161,female,Polish,Franciszka,Duda,Wrocław,FranciszkaDuda@superrito.com,"88 421 23 26",8/7/1991
162,male,Polish,Gabrysz,"Dąbrowski ",Katowice,GabryszDabrowski@rhyta.com,"78 279 56 98",3/1/1947
163,male,Polish,Maksymilian,Kamiński,Wrocław,MaksymilianKaminski@jourrapide.com,"60 329 39 99",2/2/1950
164,male,Polish,Klemens,Pawlak,Bydgoszcz,KlemensPawlak@cuvox.de,"79 710 01 85",3/1/1952
165,male,Polish,Kasper,Chmielewski,Olsztyn,KasperChmielewski@rhyta.com,"53 982 14 78",11/19/1971
166,male,Polish,Feliks,Wojciechowski,"Siemianowice Śląskie",FeliksWojciechowski@gustr.com,"53 462 04 27",5/1/1986
167,male,Polish,Jarosław,Piotrowski,Kielce,JaroslawPiotrowski@jourrapide.com,"79 173 65 91",3/15/1991
168,male,Polish,Longin,Kaczmarek,Kraków,LonginKaczmarek@fleckens.hu,"88 686 36 46",4/1/1949
169,male,Polish,Dobrosław,Wysocki,Warszawa,DobroslawWysocki@einrot.com,"72 725 69 75",6/17/1933
170,male,Polish,Jędrzej,Kwiatkowski,Warszawa/Wesoła,JedrzejKwiatkowski@rhyta.com,"72 659 88 32",8/18/1979
171,female,Polish,Ksenia,Pawłowska,Opole,KseniaPawlowska@jourrapide.com,"67 324 63 56",10/27/1971
172,female,Polish,Ksenia,Adamska,Warszawa,KseniaAdamska@rhyta.com,"66 206 54 75",3/16/1950
173,male,Polish,Wiesław,Olszewski,Warszawa,WieslawOlszewski@teleworm.us,"78 318 48 11",6/24/1958
174,female,Polish,Mirosława,Borkowska,Brzeg,MiroslawaBorkowska@superrito.com,"88 999 84 07",2/25/1992
175,male,Polish,Arkadiusz,Dudek,"Ruda Śląska",ArkadiuszDudek@cuvox.de,"69 103 29 67",6/7/1959
176,female,Polish,Rościsława,Kowalska,Gdańsk,RoscislawaKowalska@jourrapide.com,"69 660 96 67",8/1/1943
177,male,Polish,Ferdynand,Tomaszewski,Kraków,FerdynandTomaszewski@einrot.com,"79 866 14 89",9/22/1967
178,female,Polish,Fryderyka,Pawlak,Szczecin,FryderykaPawlak@einrot.com,"79 690 49 57",11/1/1935
179,male,Polish,Szczeosny,Wysocki,Zgierz,SzczeosnyWysocki@teleworm.us,"67 887 52 70",1/13/1970
180,female,Polish,Celestyna,Woźniak,Warszawa,CelestynaWozniak@armyspy.com,"88 908 53 38",1/15/1932
181,male,Polish,Gabrysz,Kamiński,Kraków,GabryszKaminski@dayrep.com,"67 285 70 33",3/7/1967
182,male,Polish,Lubomir,Adamczyk,Wrocław,LubomirAdamczyk@superrito.com,"72 746 22 06",4/9/1948
183,female,Polish,Honorata,Kucharska,Wrocław,HonorataKucharska@armyspy.com,"53 562 31 63",5/25/1942
184,female,Polish,Ania,Woźniak,Warszawa,AniaWozniak@dayrep.com,"51 605 20 68",7/18/1967
185,male,Polish,Iwan,Czerwinski,Murów,IwanCzerwinski@superrito.com,"53 368 93 05",10/2/1938
186,female,Polish,Fryderyka,Jasińska,Koszalin,FryderykaJasinska@jourrapide.com,"72 885 61 18",9/11/1954
187,female,Polish,Nadzieja,"Nowak ",Katowice,NadziejaNowak@gustr.com,"67 603 74 13",8/1/1951
188,female,Polish,Dominika,Szczepańska,"Tarnowskie Góry",DominikaSzczepanska@superrito.com,"88 480 99 43",7/31/1946
189,female,Polish,Seweryna,Kowalska,Wrocław,SewerynaKowalska@dayrep.com,"67 467 35 62",2/1/1990
190,male,Polish,Apolinary,Jasiński,Bytom,ApolinaryJasinski@teleworm.us,"53 214 47 35",2/13/1976
191,male,Polish,Bolesław,Woźniak,Łódź,BoleslawWozniak@superrito.com,"72 674 81 15",12/31/1971
192,female,Polish,Stanisława,Symanska,Szczecin,StanislawaSymanska@rhyta.com,"79 443 53 79",1/19/1980
193,male,Polish,Błažej,Rutkowski,Wrocław,BlazejRutkowski@cuvox.de,"78 860 54 90",6/6/1965
194,male,Polish,Bogusław,Wysocki,Poznań,BoguslawWysocki@fleckens.hu,"66 987 30 53",12/7/1987
195,female,Polish,Joasia,Zając,"Ruda Śląska",JoasiaZajac@armyspy.com,"67 555 90 30",2/27/1977
196,female,Polish,Bogusława,Tomaszewska,"Dąbrowa Górnicza",BoguslawaTomaszewska@jourrapide.com,"72 377 84 23",9/22/1994
197,female,Polish,Blanka,Adamska,Łódź,BlankaAdamska@superrito.com,"72 125 03 46",11/8/1957
198,male,Polish,Jerzy,Jasiński,Białystok,JerzyJasinski@fleckens.hu,"60 407 28 28",11/8/1950
199,male,Polish,Bartosz,Kozłowski,Lublin,BartoszKozlowski@gustr.com,"67 644 98 23",4/4/1949
200,female,Polish,Wioletta,Kowalczyk,Kraków,WiolettaKowalczyk@armyspy.com,"53 495 67 01",2/12/1983
201,male,Polish,Gaweł,Symanski,Poznań,GawelSymanski@dayrep.com,"66 224 92 85",9/22/1984
202,male,Polish,Renard,Tomaszewski,Opole,RenardTomaszewski@einrot.com,"51 591 70 78",11/8/1971
203,male,Polish,Stanisław,Czarnecki,Warszawa,StanislawCzarnecki@jourrapide.com,"67 289 48 87",9/19/1971
204,male,Polish,Klimek,Jaworski,Katowice,KlimekJaworski@superrito.com,"66 540 49 49",9/10/1954
205,male,Polish,Drugi,Majewski,Łódź,DrugiMajewski@cuvox.de,"53 664 32 19",8/20/1934
206,female,Polish,Mirosława,Kalinowska,Zabrze,MiroslawaKalinowska@armyspy.com,"72 976 23 45",9/17/1971
207,female,Polish,Irenka,Symanska,Warszawa,IrenkaSymanska@teleworm.us,"72 332 20 75",12/14/1987
208,female,Polish,Irenka,Król,Gdynia,IrenkaKrol@einrot.com,"72 739 93 31",11/17/1947
209,female,Polish,Teodozja,Dudek,Racibórz,TeodozjaDudek@dayrep.com,"67 107 17 00",12/11/1976
210,male,Polish,Apolinary,Kowalski,"Dąbrowa Górnicza",ApolinaryKowalski@einrot.com,"79 375 78 33",2/28/1980
211,female,Polish,Wioletta,Olszewska,Wrocław,WiolettaOlszewska@gustr.com,"69 388 84 82",1/3/1955
212,female,Polish,Klara,Wojciechowska,Poznań,KlaraWojciechowska@rhyta.com,"67 527 10 36",2/14/1995
213,male,Polish,Marcin,Duda,Szczecin,MarcinDuda@einrot.com,"66 892 68 92",10/16/1935
214,male,Polish,Cyryl,"Dąbrowski ",Bielsko-Biała,CyrylDabrowski@einrot.com,"72 421 28 68",9/16/1940
215,female,Polish,Ania,Sokołowska,Warszawa,AniaSokolowska@teleworm.us,"66 743 20 34",2/3/1933
216,female,Polish,Lidia,Jaworska,"Ruda Śląska",LidiaJaworska@cuvox.de,"78 605 03 67",8/12/1979
217,male,Polish,Roman,Wojciechowski,Poznań,RomanWojciechowski@cuvox.de,"79 989 06 58",8/13/1938
218,female,Polish,Krystyna,Michalska,Warszawa,KrystynaMichalska@fleckens.hu,"53 934 90 43",7/21/1967
219,female,Polish,Wojciecha,Borkowska,"Tarnowskie Góry",WojciechaBorkowska@fleckens.hu,"88 768 40 37",1/31/1940
220,female,Polish,Felicyta,Piotrowska,Chełmno,FelicytaPiotrowska@superrito.com,"79 446 13 64",9/29/1944
221,female,Polish,Oliwia,Symanska,Warszawa,OliwiaSymanska@cuvox.de,"51 745 66 20",10/11/1936
222,male,Polish,Gustaw,Kucharski,Szczecin,GustawKucharski@rhyta.com,"88 482 29 31",9/29/1934
223,female,Polish,Franciszka,Pawłowska,Łódź,FranciszkaPawlowska@dayrep.com,"53 187 11 35",9/8/1971
224,female,Polish,Zoja,Grabowska,Poznań,ZojaGrabowska@dayrep.com,"78 383 07 35",6/27/1960
225,male,Polish,Tytus,Wiśniewski,Warszawa,TytusWisniewski@einrot.com,"88 495 39 96",1/4/1962
226,female,Polish,Gracja,Michalska,Bytom,GracjaMichalska@dayrep.com,"69 551 07 69",9/11/1982
227,female,Polish,Weronika,Duda,Szczecin,WeronikaDuda@dayrep.com,"79 626 05 59",7/20/1972
228,female,Polish,Małgorzata,Piotrowska,Wrocław,MalgorzataPiotrowska@teleworm.us,"53 828 30 97",9/25/1988
229,male,Polish,Klimek,Nowakowski,Szczecin,KlimekNowakowski@superrito.com,"51 222 09 47",1/17/1951
230,female,Polish,Małgorzata,Woźniak,"Tarnowskie Góry",MalgorzataWozniak@armyspy.com,"67 148 51 61",3/9/1972
231,male,Polish,Alojzy,Gorski,Kraków,AlojzyGorski@armyspy.com,"51 945 67 89",6/26/1945
232,female,Polish,Zuzanna,Woźniak,Jarocin,ZuzannaWozniak@einrot.com,"72 953 29 04",11/12/1968
233,female,Polish,Julita,Gorska,Katowice,JulitaGorska@teleworm.us,"60 646 36 79",10/21/1933
